Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254143N	Raw Long: 07059036W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254143N	Raw Long: 07059036W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254143N	Raw Long: 07059036W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254144N	Raw Long: 07059035W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254144N	Raw Long: 07059035W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254144N	Raw Long: 07059035W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 14	Raw Lat: 4254144N	Raw Long: 07059035W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254147N	Raw Long: 07059038W	Parameter: 0.5	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254148N	Raw Long: 07059039W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254148N	Raw Long: 07059039W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254147N	Raw Long: 07059039W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254147N	Raw Long: 07059039W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254146N	Raw Long: 07059039W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254146N	Raw Long: 07059038W	Parameter: 0.3	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254147N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254148N	Raw Long: 07059038W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254148N	Raw Long: 07059038W	Parameter: 0.1	
