0.26;3
0.27;3
0.28;4
0.29;22
0.3;39
0.31;76
0.32;139
0.33;261
0.34;427
0.35;615
0.36;824
0.37;1109
0.38;1403
0.39;1750
0.4;1997
0.41;2164
0.42;2430
0.43;2463
0.44;2522
0.45;2647
0.46;2495
0.47;2391
0.48;2289
0.49;2104
0.5;2030
0.51;1827
0.52;1584
0.53;1326
0.54;1224
0.55;1028
0.56;927
0.57;746
0.58;629
0.59;514
0.6;385
0.61;349
0.62;333
0.63;252
0.64;225
0.65;169
0.66;156
0.67;121
0.68;104
0.69;76
0.7;84
0.71;61
0.72;44
0.73;46
0.74;27
0.75;30
0.76;25
0.77;19
0.78;14
0.79;7
0.8;4
0.81;2
0.82;1
0.83;2
