NestNum,Location,NestID,M#1,M#2,Lat,Lon,Notes
1,Kiggins leach,22G51,6N2,3AE,42.98793,-70.61367,
2,Dorm 1,22G87,0EE,7KE,42.98750,-70.61368,
3,Bartels--bench,22G05,3Z5,5FV,42.98861,-70.61175,
4,Bartels--bench,22G121,4FV,UB,42.98843,-70.61197,
5,bench (Gerry's),22G126,9JM / 4Z8,UB,42.98877,-70.61159,
6,bench (Gerry's)--incinerator,22G125,3Y3,UB,42.98886,-70.61165,
7,bench (Gerry's),22G144,1777-28147,UB,42.98878,-70.61149,
8,Gerry's,22G01,9JU,UB,42.98877,-70.61098,
9,Gerry's,22G02,0JP,2JV,42.98887,-70.61150,
10,Gerry's,22G06,3JN,UB,42.98859,-70.61088,
11,Gerry's,22G07,0JU,UB,42.98880,-70.61103,
12,Gerry's,22G08,4F4,UB,42.98890,-70.61130,
13,Gerry's,22G12,8JU,UB,42.98874,-70.61099,
14,Gerry's,22G14,0HY,0JM,42.98860,-70.61116,
15,Gerry's,22G16,8R0,3Y5,42.98865,-70.61076,
16,Gerry's,22G20,3JV,UB,42.98883,-70.61132,
17,Gerry's,22G21,3Y8,UB,42.98853,-70.61089,
18,Gerry's,22G25,4JV,UB,42.98887,-70.61136,
19,Gerry's,22G82,1JV,UB,42.98870,-70.61097,
20,Gerry's,22G137,2EF,UB,42.98882,-70.61113,
21,Gerry's,22G138,0AA,3AN,42.98893,-70.61103,
22,Gerry's--stone bridge,22G143,6T6,UB,42.98842,-70.61124,
23,stone bridge,22G19,6J3,UB,42.98838,-70.61083,
24,FMS 22,22G15,9HY,UB,42.98778,-70.61051,
25,FMS 24,22G145,6FM,UB,42.98619,-70.61125,*changed from FMS 22
26,FMS 23,22G146,0AJ,UB,42.98699,-70.61075,
27,Halftide,22G04,4T4,7V2,42.98568,-70.61201,
28,Crystal Lake,22G130,9Z2,UB,42.98636,-70.61420,
29,Dorm 2,22G52,2JR,4KE,42.98713,-70.61401,
30,Dorm 2-3,22G53,2AE,UB,42.98704,-70.61419,
31,Laighton,22G58,8EP,UB,42.98753,-70.61544,
32,Laighton--PK,22G55,0T4,6HU,42.98727,-70.61553,
33,PK,22G22,8JM,UB,42.98709,-70.61557,
34,PK,22G54,1K9,9EF,42.98695,-70.61556,
35,radio tower,22G56,5AU,7AV,42.98716,-70.61528,
36,Sunset,22G57,2 E 2,UB,42.98697,-70.61585,
37,Sunset,22G59,4Z9,4ER,42.98692,-70.61590,
