NestNum,Location,NestID,M#1,M#2,Lat,Lon,Notes
101,Siren's,23G75,4M3,UB,42.99191,-70.61360,
102,Siren's,23G76,7EA,,42.99165,-70.61351,
103,Siren's,23G77,3KK,,42.99190,-70.61345,
104,Siren's,23G78,4KK,UB,42.99180,-70.61332,
105,Siren's,23G79,6EC,UB,42.99192,-70.61309,
106,Siren's,23G88,9EA,UB,42.99146,-70.61367,
107,Siren's,23G135,2EC,,NA,NA,
108,FMS 14,23G89,3FM,,42.99165,-70.61305,
109,FMS 15,23G90,7J6,,42.99115,-70.61303,
110,Broad--Norwegian,23G97,7HF,,42.98979,-70.61318,
111,Norwegian,23G92,2HY,,42.99078,-70.61306,
112,Norwegian,23G93,6K9,,42.99040,-70.61316,
113,Norwegian,23G94,0FA,,42.99023,-70.61318,
114,Norwegian,23G95,9T5,UB,42.99029,-70.61316,
115,FMS 15,23G91,5X3,3AV,42.99118,-70.61291,
116,FMS 15,23G134,3HY,UB,42.99109,-70.61300,
117,Broad--Norwegian,23G98,1HA,,42.98960,-70.61326,
118,Broad N,23G30,6R3,4AC,42.98938,-70.61364,
119,Broad N,23G31,5R6,1KJ,42.98938,-70.61357,
120,Broad S,23G32,8KH,9KK,42.98909,-70.61311,
121,Broad--incinerator,23G35,0U0,2KJ,42.98899,-70.61273,
122,Broad--incinerator,23G62,2P3,1JN,42.98887,-70.61234,
123,Gerry's--stone bridge,23G128,6T6,UB,42.98842,-70.61124,
124,FMS 23,23G130,0AJ,UB,42.98699,-70.61075,
125,Halftide,23G131,7V2,,42.98569,-70.61202,
126,Norwegian,23G96,9 E 0,UB,42.99005,-70.61317,
127,Norwegian,23G132,1777-14164,,42.99005,-70.61315,
128,Norwegian,23G133,6FE,UB,42.99018,-70.61298,
129,incinerator,23G36,3KJ,4KJ,42.98892,-70.61210,
,FMS 22,23G106,0FZ,,NA,NA,
