Band,NestID21,NestID22,NestID23,NestID24,BandedYear,BandedAge,Age,AgeMin,BandedLocation,BandedLat,BandedLon,Sex,Reason,Head-plus-Bill,Parents / Family,Status
8KT / 2017-25428,,,23G54,24G35,2017,chick,7,,Sandpiper,42.99067,-70.6167,M,morph,,3EE + 4EE (17G106),
9FR,,,,24G33,2017,chick,7,,Sunset,42.98697,-70.6158,,,,3EC + 1R4,
7F9,21G26,22G30,23G09,,2009,chick,,,dock--HTP,,,F,morph,NA,--,
6J3,,22G19,23G103,,2013,chick,,,Gerry's,,,,,,,
6FM,,22G145,23G112,,2017,chick,,,Sandpiper,42.99052,-70.6167,,,,(17G104),
2017-25458,,,23G113,,2017,chick,,,Sunset,42.98692,-70.6159,,,,4ER (17G45),
7EP,,22G153,23G114,,2016,chick,,,Sandpiper,42.99067,-70.6167,,,,4EE (16G135),
9T1,,22G48,23G120,,2011,chick,,,North Head,,,,,,,
8V2,,22G49,23G121,,2012,chick,,,Gerry's,,,,,,,
5Z4,,22G42,23G122,,2015,chick,,,FMS 14,,,,,,,
4FU,,22G47,23G123,,2017,chick,,,North Head,,,,,,,
1Z1,,22G50,23G124,,2014,chick,,,North Head,,,,,,,
8R0,,22G16,23G101,,2011,chick,,,Gerry's,,,,,,,
7AV,,22G56,23G13,,2016,chick,,,Sunset,42.98717,-70.6161,,,129.1,4Z9 (16G11); sib 8AV,
0AJ,,22G146,23G130,,2015,chick,,,Gerry's,,,,,,,
7V2,,22G04,23G131,,2012,chick,,,Broad,,,,,,,
6FE,,,23G133,,2017,chick,,,Norwegian,,,,,,,
2HZ / 8F7,21G09,22G111,23G22,,2009,chick,,,HTP--Paint Shed,,,M,morph,NA,sib 8F6,
0HA,,22G109,23G23,,2018,chick,,,HTP,42.98808,-70.6159,,,122.1,0N7 + UB (18G42),
1T4,,22G23,23G37,,2011,chick,,,FMS 28,,,M,database,130.2,,
7C5,,22G09,23G38,,2005,chick,,,FMS 5,,,,,NA,--,
6AY,,22G129,23G50,,2016,chick,,,Sandpiper,,,,,129.7,--,
3AN,,22G138,23G81,,2015,chick,,,Gerry's,,,,,,,
0AX,,22G68,23G86,,2016,chick,,,trail--Smith's,,,,,133.9,sib 9AX,
7J6,,22G104,23G90,,2013,chick,,,DDF,,,,,,,
9T5,,22G160,23G95,,2011,chick,,,North Head,,,,,,,
9 E 0,21G58,22G100,23G96,,2006,chick,,,Norwegian,,,,,,,
7HF,,,23G97,,2018,chick,,,Broad,,,,,,,
4F4,21G35,22G08,23G99,,2009,chick,,,Gerry's,,,,,,,
7K0,,22G03,,,2010,chick,,,Grass Lab,,,,,,,
4T4,,22G04,,,2011,chick,,,Gerry's,,,,,,,
6EN,,22G101,,,2016,chick,,,Siren's,,,,,126.3,--,
1FE,,22G103,,,2017,chick,,,Norwegian,,,,,,,
5EX,,22G105,,,2016,chick,,,Norwegian,,,,,,,
0J2,21G25,22G120,,,2009,chick,,,graveyard,,,,,NA,,
5R7,21G25,22G120,,,2011,chick,,,Broad,,,M,database,125.4,,
0AU,21G46,22G131,,,2016,chick,,,HTP,42.98848,-70.6157,,,120.5,6AC + 3K6 (16G103); sib 9AU,
2AY,,22G132,,,2016,chick,,,trail--Smith's,,,,,121.9,,
6FF,,22G132,,,2017,chick,,,dock,42.98733,-70.6168,,,127.5,4M9 (17G13),
3Z9,,22G135,,,2015,chick,,,FMS 5,,,,,,,
2H1,,22G141,,,2006,chick,,,trail--Sandpiper,,,,,,,
7AP,,22G142,,,2016,chick,,,Larus,42.99119,-70.6166,,,,3M2[1997-12827] (16G40),
5R8,21G70,22G147,,,2011,chick,,,Norwegian,,,,,,,
2FC,,22G157,,,2017,chick,,,North Head,,,,,,,
1T5,,22G158,,,2011,chick,,,FMS 27,,,,,,,
2HF,,22G159,,,2018,chick,,,Norwegian,,,,,,,
8J9,,22G161,,,2013,chick,,,North Head,42.99223,-70.6151,,,,(13G417),
3Y8,,22G21,,,2014,chick,,,Gerry's,,,,,,,
1T9,21G47,22G33,,,2011,chick,,,Larus,,,,,,,
3AP,21G12,22G44,,,2016,chick,,,FMS 4,42.98923,-70.616,,,123.2,"0J2 + 6F8 (16G25); sibs 1AP, 2AP",
0T4,21G05,22G55,,,2011,chick,,,K House,,,F,database,119,4K3,
5AU,,22G56,,,2016,chick,,,Bartels,42.98711,-70.6134,,,133.3,4P9 (16G8); sib 4AU,
8EP,,22G58,,,2016,chick,,,dock--Laighton,42.98721,-70.6156,,,135.1,"9EF (16G151); sibs 5AZ, 7AZ",
2U2,21G63,22G83,,,2013,chick,,,Norwegian,,,,,,,
0AZ,,22G89,,,2016,chick,,,trail--Smith's,,,,,124.5,7Z5,
4N2,,LungingG1,,,2007,chick,,,trail--Sandpiper,,,,,,--,
5AZ,,LungingG2,,,2016,chick,,,Laighton--Kiggins,42.98721,-70.6156,,,,"9EF (16G151); sibs 8EP, 7AZ",
3Y7,,LungingG3,,,2014,chick,,,dock,,,,,,,
1 A M,21G56,,,,2015,chick,,,Kiggins,,,,,,,
1C3,21G13,,,,2005,chick,,,Laighton,,,M,behavioral,,,
2V2,21G33,,,,2012,chick,,,Broad,,,,,,,
4F7,21G03,,,,2009,chick,,,Gerry's,,,,,,,
6V4,21G04,,,,2012,chick,,,Dorm 2,,,,,,,
7FE,21G28,,,,2017,chick,,,dock,42.98651,-70.6179,,,,1V2,
8K6,21G01,,,,2010,chick,,,dock--HTP,,,M,genetic,,,
9P3,21G01,,,,2010,chick,,,Dorm 2,,,F,genetic,,,
0KH / 6AC,21G43,22G106,23G04,24G02,2016,adult,,12,HTP,,,,,156.1,,
1KH,,,23G04,24G02,2023,adult,,5,HTP,,,,,,,
9KU,,,,24G03,2024,adult,,4,,,,,,,,
5KH,,22G74,23G25,24G04,2022,adult,,6,HTP,,,,,142.4,,
0KU,,,,24G06,2024,adult,,4,,,,,,,,
5JN,21G44,22G108,23G46,24G07,2021,adult,,7,HTP,,,F,morph,140.5,,
3P2,21G17,22G70,23G09,24G08,2010,adult,,18,dock--HTP,,,M,genetic,153,,
3EC,,,23G110,24G09,2016,adult,,12,Sunset,,,,,,,
2 E 2,21G07,22G57,23G15,24G09,2006,adult,,22,Sunset,,,M,genetic,152.1,,
1EE,,22G60,,24G12,2016,adult,,12,Sunset,,,,,135,,
4ER,21G51,22G59,23G17,24G14,2017,adult,,11,Sunset,,,M,"database, morph",149.5,,
