birdID,nestID,obs_date,hatch1_date,days_pre_hatch,response,latency
1HY,19G10,6/8/19,NA,#VALUE!,5,3
6HU,19G22,6/8/19,6/18/19,10,6,6
X19G22,19G22,6/8/19,6/18/19,10,5,12
9EF,19G23,6/8/19,6/9/19,1,5,20
1K9,19G23,6/8/19,6/9/19,1,6,7
9HY,19G54,6/8/19,6/13/19,5,6,37
0HZ,19G57,6/8/19,NA,#VALUE!,4,4
4HZ,19G59,6/8/19,6/7/19,-1,8,133
1C3,19G10,6/9/19,NA,#VALUE!,5,32
2Z0,19G14,6/9/19,6/8/19,-1,8,38
X19G14,19G14,6/9/19,6/8/19,-1,6,42
2M8,19G30,6/9/19,6/20/19,11,4,0
X19G30,19G30,6/9/19,6/20/19,11,8,36
U19G42,19G42,6/9/19,6/8/19,-1,7,216
U19G43,19G43,6/9/19,6/10/19,1,4,0
4AC,19G49,6/9/19,6/10/19,1,6,192
6P5,19G49,6/9/19,6/10/19,1,6,44
1EA,19G50,6/9/19,6/4/19,-5,6,18
4FV,19G50,6/9/19,6/4/19,-5,6,127
8HY,19G53,6/9/19,6/7/19,-2,7,14
U19G54,19G54,6/9/19,6/13/19,4,7,300
U19G56,19G56,6/9/19,6/9/19,0,7,300
0HY,19G56,6/9/19,6/9/19,0,6,32
0HU,19G58,6/9/19,6/10/19,1,7,49
3HZ,19G58,6/9/19,6/10/19,1,6,102
U19G59,19G59,6/9/19,6/7/19,-2,8,201
U19G53,19G53,6/10/19,6/7/19,-3,7,32
0EU,19G03,6/12/19,6/9/19,-3,5,3
U19G03,19G03,6/12/19,6/9/19,-3,6,16
6HU,19G22,6/12/19,6/18/19,6,4,0
X19G22,19G22,6/12/19,6/18/19,6,5,13
9EF,19G23,6/12/19,6/9/19,-3,6,34
1K9,19G23,6/12/19,6/9/19,-3,6,23
2M8,19G30,6/12/19,6/20/19,8,4,0
X19G30,19G30,6/12/19,6/20/19,8,8,77
U19G42,19G42,6/12/19,6/8/19,-4,7,300
2P3,19G43,6/12/19,6/10/19,-2,5,300
U19G43,19G43,6/12/19,6/10/19,-2,6,163
4AC,19G49,6/12/19,6/10/19,-2,5,24
6P5,19G49,6/12/19,6/10/19,-2,6,206
U19G54,19G54,6/12/19,6/13/19,1,7,300
9HY,19G54,6/12/19,6/13/19,1,5,163
U19G56,19G56,6/12/19,6/9/19,-3,7,300
