NestNum,Location,NestID,M#1,M#2,Lat,Lon,Notes
1,HTP--dock,24G08,3P2,UB,42.98794,-70.61584,
2,HTP--dock,24G25,9JN,5KK / 3EH,42.98809,-70.61583,
3,HTP rock wall,24G10,4FN,UB,42.9882,-70.61584,
4,HTP engine,24G21,3KH / 8C7,4KH / 8JN,42.98823,-70.61584,
5,HTP rocks,24G20,6JN,3KT,42.98849,-70.61592,
6,HTP,24G02,0KH / 6AC,1KH,42.9885,-70.61561,
7,HTP,24G03,0EK,9KU,42.98846,-70.61567,
8,HTP,24G04,2FL,5KH,42.98842,-70.61573,
9,HTP,24G05,4X5,4X6,42.98839,-70.61578,
10,HTP,24G06,0FX,0KU,42.98842,-70.61581,
11,HTP,24G07,0N7,5JN,42.98848,-70.61578,
12,HTP,24G24,4Z1,2KH / 0X5,42.98817,-70.6158,
13,HTP,24G76,2KT,6KT,42.98852,-70.61554,
14,HTP--Paint Shed,24G01,0P3,5FE,42.9886,-70.61537,
15,Paint Shed,24G50,9KE,4KT,42.98876,-70.61536,
16,FMS 4,24G39,0HX / 5J1,1777-28114,42.98904,-70.61601,
17,FMS 5,24G19,3T3,5ER,42.98935,-70.61652,
18,Celia's bench/sumac,24G22,1HY,UB,42.98923,-70.61612,
19,Celia's bench,24G90,5Y9,UB,42.98936,-70.61621,
20,trail--Sandpiper,24G26,8FF,UB,42.98954,-70.61687,
21,trail--Sandpiper,24G27,8X2,UB,42.98966,-70.61688,
22,Sandpiper,24G28,0KT / 7EE,5F6,42.99077,-70.61675,
23,Sandpiper,24G31,5KE,UB,42.99041,-70.61676,
24,Sandpiper,24G32,7FL,UB,42.99053,-70.61677,
25,Sandpiper,24G33,9FR,2017-17423,42.99074,-70.61668,
26,Sandpiper,24G34,7KT,7Z4,42.99069,-70.61665,
27,Sandpiper,24G35,8KT / 2017-25428,8KU,42.99058,-70.61674,
28,Larus,24G36,0KK / 9M4,,42.99094,-70.61674,
29,Larus,24G37,3T0,,42.99104,-70.6166,
30,Larus,24G40,0FM,,42.99122,-70.61653,
31,Larus,24G41,7FM,,42.99121,-70.61655,
32,Larus,24G42,6F3,,42.99137,-70.61643,
33,Larus,24G43,9KT,,42.99154,-70.61624,
34,Kiggins leach,24G93,6N2,,42.98793,-70.61367,
35,Bartels--bench,24G49,3Z5,5FV,42.9886,-70.61175,
36,Bartels--bench,24G54,1HR,UB,42.98843,-70.61205,
37,Gerry's bench,24G59,9JM / 4Z8,UB,42.98872,-70.61161,
38,Gerry's,24G45,8JU,4KU,42.98875,-70.61098,
39,Gerry's,24G46,1KU,UB,42.98838,-70.61105,
40,Gerry's,24G47,3JN,,42.9886,-70.61088,
41,Gerry's,24G48,3KU,UB,42.98876,-70.61126,
42,Gerry's,24G60,0AA,,42.98878,-70.6111,
43,Gerry's,24G61,6KK,,42.98879,-70.61141,
44,Gerry's,24G62,1FY,,42.98882,-70.61134,
45,Gerry's,24G63,9JU,UB,42.98877,-70.61101,
46,Gerry's,24G64,3Y5,,42.98866,-70.61075,
47,Gerry's,24G65,4JV,,42.98884,-70.61141,
48,Gerry's,24G66,0JM,UB,42.98863,-70.61125,
49,Gerry's,24G67,2KU,UB,42.98869,-70.61096,
50,Gerry's,24G68,8JF,UB,42.98848,-70.61112,
51,Gerry's,24G91,1JV,,42.9887,-70.61097,
52,Gerry's,24G92,1777-28147,,42.98878,-70.61149,
53,Gerry's,24G94,2EF,UB,42.98882,-70.61113,
54,Gerry's,24G95,1EZ,UB,42.98847,-70.61093,
55,Gerry's,24G96,6T6,UB,42.98842,-70.61124,
56,Gerry's--incinerator,24G97,3Y3,UB,42.98886,-70.61165,
57,Gerry's--incinerator,24G55,5KU,6KU,42.98895,-70.61155,
58,incinerator,24G69,3KJ,,42.98895,-70.61212,
59,Broad--incinerator,24G70,2P3,1JN,42.98885,-70.6123,
60,Broad--incinerator,24G71,0U0,2KJ,42.98903,-70.61269,
61,Broad S,24G44,4FV,9KK,42.9891,-70.61315,
62,Broad N,24G72,4AC,6R3,42.98937,-70.61365,
63,Broad N,24G73,5R6,1KJ,42.98941,-70.61357,
64,Norwegian,24G81,1777-14164 / 6H4,,42.99005,-70.61317,
65,Norwegian,24G82,0FA,,42.99018,-70.61314,
66,Norwegian,24G83,6K9,,42.9904,-70.61316,
67,Norwegian,24G84,2HY,,42.99084,-70.61305,
68,FMS 14,24G85,5X3,3AV,42.99115,-70.61294,
69,FMS 14,24G86,5EV,,42.99115,-70.61286,
70,FMS 14,24G87,3FM,,42.9916,-70.61304,
71,Siren's,24G75,4KK,UB,42.99179,-70.61329,
72,Siren's,24G77,7EA,UB,42.99166,-70.61353,
73,Siren's,24G78,2KE,UB,42.99197,-70.61364,
74,Siren's,24G79,9EA,UB,42.99147,-70.61369,
75,Siren's,24G80,3V7,0KJ,42.99192,-70.61375,
76,Siren's,24G88,7AT,,42.9919,-70.61339,
77,DDF/Siren's triangle,24G89,9KJ,,42.99181,-70.61446,
78,DDF,24G57,3T1,7KU,42.99159,-70.61488,
79,DDF,24G58,0FJ,UB,42.99155,-70.61486,
80,rock-on-trail,24G56,8KJ,,42.99077,-70.615,
81,Ross's Pole Barn,24G74,5AT,,42.98963,-70.61458,
82,FMS 28,24G52,0Y4,UB,42.98633,-70.61813,
83,FMS 28,24G53,2Z1,UB,42.9863,-70.61812,2 chicks 5/23
84,dock,24G18,4FE,UB,42.98718,-70.617,
85,dock,24G23,2U0,3ET,42.98721,-70.61699,
86,dock,24G51,9EH,UB,42.98724,-70.61684,
87,dock--campus,24G17,9JP,6KH,42.98722,-70.61667,
88,Sunset,24G09,2 E 2,3EC,42.98698,-70.61582,
89,Sunset,24G11,7KH / 3FR,UB,42.98699,-70.61582,
90,Sunset,24G12,5KJ / 2AK,1EE,42.98694,-70.61586,
91,Sunset,24G13,5T9,UB,42.98688,-70.61601,
92,Sunset,24G14,4Z9,4ER,42.98691,-70.61591,
93,Sunset,24G15,4EC,UB,42.9869,-70.61598,
