0.14;1
0.2;1
0.23;1
0.26;3
0.27;3
0.28;11
0.29;9
0.3;22
0.31;47
0.32;103
0.33;190
0.34;312
0.35;467
0.36;612
0.37;815
0.38;1056
0.39;1276
0.4;1415
0.41;1667
0.42;1777
0.43;1869
0.44;1949
0.45;1937
0.46;1969
0.47;2060
0.48;1875
0.49;1815
0.5;1717
0.51;1612
0.52;1364
0.53;1290
0.54;1069
0.55;1018
0.56;838
0.57;713
0.58;592
0.59;521
0.6;462
0.61;412
0.62;325
0.63;263
0.64;227
0.65;217
0.66;126
0.67;118
0.68;106
0.69;74
0.7;82
0.71;42
0.72;44
0.73;32
0.74;20
0.75;29
0.76;11
0.77;14
0.78;7
0.79;5
0.8;3
0.81;4
0.83;1
