0.24;2
0.25;3
0.26;7
0.27;16
0.28;38
0.29;76
0.3;132
0.31;207
0.32;340
0.33;504
0.34;618
0.35;837
0.36;928
0.37;1006
0.38;1068
0.39;1134
0.4;1086
0.41;1067
0.42;988
0.43;875
0.44;862
0.45;733
0.46;663
0.47;515
0.48;466
0.49;443
0.5;334
0.51;326
0.52;281
0.53;213
0.54;185
0.55;133
0.56;122
0.57;105
0.58;93
0.59;75
0.6;61
0.61;43
0.62;39
0.63;37
0.64;25
0.65;25
0.66;15
0.67;9
0.68;9
0.69;14
0.7;7
0.71;2
0.72;1
0.73;3
0.74;4
0.77;1
0.79;1
0.82;2
