0.25;1
0.27;3
0.28;3
0.29;5
0.3;9
0.31;33
0.32;74
0.33;117
0.34;230
0.35;359
0.36;566
0.37;756
0.38;1010
0.39;1225
0.4;1511
0.41;1689
0.42;1745
0.43;1925
0.44;1941
0.45;1998
0.46;1923
0.47;1990
0.48;1771
0.49;1839
0.5;1711
0.51;1587
0.52;1433
0.53;1328
0.54;1101
0.55;1065
0.56;911
0.57;802
0.58;699
0.59;642
0.6;480
0.61;396
0.62;345
0.63;302
0.64;238
0.65;209
0.66;175
0.67;135
0.68;104
0.69;91
0.7;74
0.71;70
0.72;51
0.73;38
0.74;39
0.75;29
0.76;27
0.77;14
0.78;21
0.79;8
0.8;6
0.81;4
0.82;1
0.83;1
